"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"av:Audio_Video:1                   ","Class","Audio_Video","1.0","av","The Audio_Video class contains metadata for Encoded_Audio or Encoded_Video data. Most attributes are taken directly from the EXIF/XMP keywords often found in A/V files. If there is any ambiguity in the definitions, refer to the EXIF/XMP standards for clarification. This metadata herein is not intended to be comprehensive; it is a subset of the available metadata, wihch is part of the stream itself. This subset is intended to facilitate searching using PDS tools and thus contains those items most likely to be useful for searches.","img","","","","","","","","","","",""
"av:AV_Container:1                  ","Class","AV_Container","1.0","av","Contains metadata related to the Audio/Video container, and a set of Tracks for each component of the A/V container. Note that the Local_Internal_Reference points to the local_identifier in this label of the container to which this metadata applies (useful if there is more than one)","img","","","","","","","","","","",""
"av:AV_Container:2                   av:container_type:1                ","Attribute","container_type","n/a","av","Specifies the type (format) of the container in PDS terms. ","img","ASCII_Short_String_Preserved","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:AV_Container:2                   av:container_type:2                 Value:M4A","Value","M4A","","","MPEG-4 Audio-only file"
"av:AV_Container:2                   av:container_type:2                 Value:MP4","Value","MP4","","","MPEG-4 Part 14 file, can contain audio and/or video"
"av:AV_Container:2                   av:container_type:2                 Value:None","Value","None","","","No container, e.g. an elementary data stream"
"av:AV_Container:2                   av:container_type:2                 Value:Other","Value","Other","","","Non-PDS-compliant container type (should not be used except for Product_External)"
"av:AV_Container:2                   av:container_type:2                 Value:WAV","Value","WAV","","","Waveform Audio File Format, Audio-only file"
"av:AV_Container:2                   av:avg_bitrate:1                   ","Attribute","avg_bitrate","n/a","av","Overall average bitrate combining both video and audio streams ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Rates","none","TBD_classConcept","REAL"
"av:AV_Container:2                   av:create_date:1                   ","Attribute","create_date","n/a","av","Original recording time of the entire stream ","img","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:AV_Container:2                   av:modify_date:1                   ","Attribute","modify_date","n/a","av","Indicates when the stream was last edited or saved ","img","ASCII_Date_Time_YMD_UTC","0","1","Unbounded","Unbounded","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:AV_Container:2                   av:device_description:1            ","Attribute","device_description","n/a","av","Describes the camera or recording device used ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:AV_Container:2                   av:duration:1                      ","Attribute","duration","n/a","av","Indicates the time duration of the stream in hh:mm:ss format ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:AV_Container:2                   av:duration_seconds:1              ","Attribute","duration_seconds","n/a","av","Indicates the time duration of the stream in seconds ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_Time","none","TBD_classConcept","REAL"
"av:AV_Container:2                   av:major_brand:1                   ","Attribute","major_brand","n/a","av","Identifies the primary brand/specification of an ISO base meda file. ","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"av:AV_Container:2                   av:megapixels:1                    ","Attribute","megapixels","n/a","av","Specifies the size of the detector in megapixels. This is not intended to be a precise measurement but rather indicates the general size or class of the detector. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"av:AV_Container:2                   av:preferred_rate:1                ","Attribute","preferred_rate","n/a","av","Indicates the intended playback speed of the video. A value of 1 typically represents normal, real-time speed, while other values can indicate slow motion or fast-forward preferences. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"av:AV_Container:2                   av:preferred_volume:1              ","Attribute","preferred_volume","n/a","av","Indicates the default playback volume for the stream, with 1.0 indicating normal volume. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"av:AV_Container:2                   av:time_scale:1                    ","Attribute","time_scale","n/a","av","Indicates the timing resolution of the movie, defined as the number of time units that pass per second. It dictates the precision of the video's duration and frame rate. ","img","ASCII_Real","0","1","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"av:Track:1                         ","Class","Track","1.0","av","Class containing information relating to a Track within the stream (typically the audio or video portions separated). This class contains metadata common to all Tracks. Children Audio_Track and Video_Track hold metadata specific to those kinds of tracks. Other types of tracks (e.g. Metadata) may not have a child.","img","","","","","","","","","","",""
"av:Track:2                          av:handler_class:1                 ","Attribute","handler_class","n/a","av","Defines the high-level functional role of a track, whether it is actual media data or metadata. ","img","ASCII_Short_String_Preserved","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
